@relation clean_lk_2005_0-10

@attribute Champ1WR numeric
@attribute Champ2WR numeric
@attribute Champ3WR numeric
@attribute Champ4WR numeric
@attribute Champ5WR numeric
@attribute Champ6WR numeric
@attribute Champ7WR numeric
@attribute Champ8WR numeric
@attribute Champ9WR numeric
@attribute Champ10WR numeric
@attribute PlayerChamp1WR numeric
@attribute PlayerChamp2WR numeric
@attribute PlayerChamp3WR numeric
@attribute PlayerChamp4WR numeric
@attribute PlayerChamp5WR numeric
@attribute PlayerChamp6WR numeric
@attribute PlayerChamp7WR numeric
@attribute PlayerChamp8WR numeric
@attribute PlayerChamp9WR numeric
@attribute PlayerChamp10WR numeric
@attribute Player1ChampTimes numeric
@attribute Player2ChampTimes numeric
@attribute Player3ChampTimes numeric
@attribute Player4ChampTimes numeric
@attribute Player5ChampTimes numeric
@attribute Player6ChampTimes numeric
@attribute Player7ChampTimes numeric
@attribute Player8ChampTimes numeric
@attribute Player9ChampTimes numeric
@attribute Player10ChampTimes numeric
@attribute Player1Ranking numeric
@attribute Player2Ranking numeric
@attribute Player3Ranking numeric
@attribute Player4Ranking numeric
@attribute Player5Ranking numeric
@attribute Player6Ranking numeric
@attribute Player7Ranking numeric
@attribute Player8Ranking numeric
@attribute Player9Ranking numeric
@attribute Player10Ranking numeric
@attribute Winner {Team2,Team1}

@data
0.499179,0.510877,0.42592,0.471665,0.500345,0.501402,0.50543,0.51141,0.489855,0.507339,0,0.428571,0.545455,0.5,0.541667,0.551724,0.5,0.75,0.611111,0.694444,1,7,11,62,72,29,2,16,36,36,41,41,41,41,35,41,41,41,41,41,Team2
0.502407,0.504341,0.517475,0.512546,0.505284,0.501402,0.42592,0.503818,0.529738,0.448419,0.515625,0.616667,0.333333,0.527066,0.512821,0.551724,0.545455,0.686275,0.666667,0.542857,64,60,3,702,39,29,11,51,3,35,35,41,35,35,41,41,41,35,35,35,Team2
0.494553,0.508327,0.489855,0.497346,0.498311,0.504341,0.517475,0.493698,0.515663,0.482865,0.5,0.333333,0.705882,0.548571,0.413793,0.666667,0.623457,0.498099,0.592357,0.346154,10,3,17,175,29,111,162,263,157,26,35,35,41,35,41,35,35,41,41,35,Team2
0.567365,0.489855,0.529738,0.458762,0.510877,0.508782,0.515117,0.500455,0.513564,0.501402,0.621212,0.529412,1,0.483871,0.487805,0.517241,0.633987,0.628319,0,0.2,66,68,3,31,41,29,153,113,2,5,41,41,29,35,41,35,41,35,41,41,Team1
0.505284,0.482437,0.500355,0.501423,0.504341,0.482865,0.459141,0.508782,0.497346,0.515663,0,0.586207,0.571429,0.479167,0.627119,0.428571,0.5,0.444444,0.548117,0.592357,3,29,21,48,59,14,8,9,239,157,41,41,35,41,41,41,35,35,35,41,Team2
0.499544,0.459141,0.482865,0.507339,0.503818,0.515663,0.494553,0.46727,0.517475,0.497346,0.425,0.516216,0.4,0.583333,0.567164,0.592357,0.6,0.5,0.507246,0.545455,40,370,15,192,67,157,25,38,69,66,41,35,41,35,41,41,41,35,29,29,Team2
0.489855,0.483625,0.501402,0.509036,0.488523,0.508782,0.504341,0.478395,0.518457,0.505284,0.529412,0.6,0.8,0.712,0.585366,0,0.6,0.584337,0.633117,0.512821,85,5,5,125,123,3,5,166,308,39,41,41,41,41,41,41,35,35,41,41,Team1
0.500455,0.489855,0.508782,0.507339,0.489224,0.51141,0.501788,0.499544,0.505888,0.534171,0.666667,0.488636,0.520833,0.578313,0.555556,0.75,0.684211,0.526316,0.571429,0.565217,12,88,48,83,27,16,19,19,14,46,35,35,41,41,41,41,41,35,41,41,Team1
0.534171,0.517475,0.497346,0.493698,0.515663,0.509036,0.501788,0.499179,0.458762,0.482437,0.666667,0.5,0.588083,0.521739,0.592357,0.712,0.571429,0.446429,0.539474,0.594203,51,16,386,23,157,125,49,56,76,69,41,35,41,35,41,41,41,35,41,41,Team1
0.502407,0.482865,0.515663,0.499544,0.504341,0.500455,0.508079,0.517475,0.501788,0.493698,0.569444,0.5,0.592357,0.425,0.387097,0.641026,0.666667,0.555556,0.555556,0.573333,144,12,157,40,31,39,12,9,90,75,35,41,41,41,35,35,41,41,35,41,Team2
